Well,OD,mCherry,Inducer,Concentration,Plate,Day
F2,0.671400011,5793,"3,4-Dihydro-2-methoxy-2H-pyran",100,24,5
F3,0.389999986,4573,"3,4-Dihydro-2-methoxy-2H-pyran",50,24,5
F4,0.394300014,4782,"3,4-Dihydro-2-methoxy-2H-pyran",25,24,5
F5,0.4199,5015,"3,4-Dihydro-2-methoxy-2H-pyran",12.5,24,5
F6,0.416000009,5201,"3,4-Dihydro-2-methoxy-2H-pyran",6.25,24,5
F7,0.462099999,5535,"3,4-Dihydro-2-methoxy-2H-pyran",3.125,24,5
F8,0.511600018,5368,"3,4-Dihydro-2-methoxy-2H-pyran",1.5625,24,5
F9,0.6954,5504,"3,4-Dihydro-2-methoxy-2H-pyran",0.78125,24,5
F10,0.455000013,5161,"3,4-Dihydro-2-methoxy-2H-pyran",0.390625,24,5
F11,0.436399996,5355,"3,4-Dihydro-2-methoxy-2H-pyran",0.1953125,24,5
F12,0.440899998,5537,"3,4-Dihydro-2-methoxy-2H-pyran",0,24,5
G1,0.081600003,3775,"3,4-Dihydro-2-methoxy-2H-pyran",200,24,5
G2,0.451099992,4752,"3,4-Dihydro-2-methoxy-2H-pyran",100,24,5
G3,0.443300009,4786,"3,4-Dihydro-2-methoxy-2H-pyran",50,24,5
G4,0.437000006,4686,"3,4-Dihydro-2-methoxy-2H-pyran",25,24,5
G5,0.449499995,5077,"3,4-Dihydro-2-methoxy-2H-pyran",12.5,24,5
G6,0.444000006,5123,"3,4-Dihydro-2-methoxy-2H-pyran",6.25,24,5
G7,0.454299986,5233,"3,4-Dihydro-2-methoxy-2H-pyran",3.125,24,5
G8,0.444799989,5236,"3,4-Dihydro-2-methoxy-2H-pyran",1.5625,24,5
G9,0.488299996,5151,"3,4-Dihydro-2-methoxy-2H-pyran",0.78125,24,5
G10,0.461400002,5124,"3,4-Dihydro-2-methoxy-2H-pyran",0.390625,24,5
G11,0.440400004,5559,"3,4-Dihydro-2-methoxy-2H-pyran",0.1953125,24,5
G12,0.403899997,5515,"3,4-Dihydro-2-methoxy-2H-pyran",0,24,5
H1,0.0836,3952,"3,4-Dihydro-2-methoxy-2H-pyran",200,24,5
